zona,anno,edad,sexo,casos
ORIN,2022,e1-5,M,9
ORIN,2022,e14-18,F,5
ORIN,2022,e14-18,M,6
ORIN,2022,e5-9,F,5
ORIN,2022,e5-9,M,4
ORIN,2022,e9-14,F,6
ORIN,2022,e9-14,M,4
ORIN,2022,e<1,F,4
ORIN,2022,e<1,M,1
ORIN,2023,e1-5,F,3
ORIN,2023,e1-5,M,6
ORIN,2023,e14-18,F,10
ORIN,2023,e14-18,M,6
ORIN,2023,e5-9,F,8
ORIN,2023,e5-9,M,7
ORIN,2023,e9-14,F,6
ORIN,2023,e9-14,M,9
ORIN,2023,e<1,F,2
ORIN,2023,e<1,M,3
ORIN,2024,e1-5,F,4
ORIN,2024,e1-5,M,6
ORIN,2024,e14-18,F,8
ORIN,2024,e14-18,M,3
ORIN,2024,e5-9,F,3
ORIN,2024,e5-9,M,4
ORIN,2024,e9-14,F,7
ORIN,2024,e9-14,M,14
ORIN,2024,e<1,F,1
ORIN,2024,e<1,M,1
PACF,2020,e1-5,F,23
PACF,2020,e1-5,M,21
PACF,2020,e14-18,F,13
PACF,2020,e14-18,M,22
PACF,2020,e5-9,F,12
PACF,2020,e5-9,M,15
PACF,2020,e9-14,F,16
PACF,2020,e9-14,M,27
PACF,2020,e<1,F,7
PACF,2020,e<1,M,3
PACF,2021,e1-5,F,18
PACF,2021,e1-5,M,24
PACF,2021,e14-18,F,25
PACF,2021,e14-18,M,18
PACF,2021,e5-9,F,12
PACF,2021,e5-9,M,14
PACF,2021,e9-14,F,21
PACF,2021,e9-14,M,28
PACF,2021,e<1,F,7
PACF,2021,e<1,M,4
PACF,2022,e1-5,F,20
PACF,2022,e1-5,M,29
PACF,2022,e14-18,F,21
PACF,2022,e14-18,M,14
PACF,2022,e5-9,F,16
PACF,2022,e5-9,M,19
PACF,2022,e9-14,F,31
PACF,2022,e9-14,M,25
PACF,2022,e<1,F,7
PACF,2022,e<1,M,4
PACF,2023,e1-5,F,14
PACF,2023,e1-5,M,26
PACF,2023,e14-18,F,27
PACF,2023,e14-18,M,25
PACF,2023,e5-9,F,17
PACF,2023,e5-9,M,19
PACF,2023,e9-14,F,20
PACF,2023,e9-14,M,21
PACF,2023,e<1,F,2
PACF,2023,e<1,M,4
PACF,2024,e1-5,F,13
PACF,2024,e1-5,M,20
PACF,2024,e14-18,F,31
PACF,2024,e14-18,M,32
PACF,2024,e5-9,F,9
PACF,2024,e5-9,M,16
PACF,2024,e9-14,F,27
PACF,2024,e9-14,M,14
PACF,2024,e<1,F,3
PACF,2024,e<1,M,4
