,Estimate,Std. Error,z value,Pr(>|z|),signif
(Intercept),-51.91376387860382,56.790276419012024,-0.9141312061165515,0.36064790682980796, 
zonaAND,3.228450673126832,0.13989459169639518,23.07773755924278,7.748713823100468e-118,***
zonaCAR,1.9034637447849463,0.1428937905158225,13.320828973139863,1.7515181281416849e-40,***
zonaORIN,0.742123456639304,0.15150185187396123,4.898444787702648,9.659817326443263e-07,***
zonaPACF,1.8966219260068684,0.1429215325561039,13.270372155170872,3.4386874597698088e-40,***
anno,0.02614336517899869,0.028085714704710073,0.9308420830257297,0.35193525739233, 
