frente a la Amazonía,IRR,IC 95% inf,IC 95% sup,p
Andina,25.240520844228318,19.18756305833621,33.202960196195285,7.748713823100468e-118
Caribe,6.709092827736137,5.070285165892488,8.877592699119383,1.7515181281416849e-40
Orinoquía,2.100390871382628,1.5607793555105582,2.8265634069361125,9.659817326443263e-07
Pacífico,6.663347100878143,5.035439793281183,8.817540554456555,3.4386874597698088e-40
