,coefficient,std.error,t.value,p.value,signif
(Intercept),1.827999999999972,2.8829745012926726,0.634067349253464,0.5266382343265249, 
anno|2021,-0.2200000000000881,3.0389219534242975,-0.07239409348837972,0.9423483293665013, 
anno|2022,1.6399999999999335,3.0389219534242935,0.5396650605495024,0.5899263062413859, 
anno|2023,1.979999999999939,3.0389219534242975,0.6515468413951364,0.5153143733673649, 
anno|2024,0.3599999999999586,3.038921953424296,0.11846306207183306,0.9057994396051291, 
zona|AND,62.480000000000096,3.0389219534242966,20.559922550691642,6.195325708513816e-55,***
zona|CAR,14.820000000000116,3.0389219534242935,4.876729388624398,1.959552511458821e-06,***
zona|ORIN,2.8400000000001038,3.0389219534242975,0.9345419341223798,0.35095983338236725, 
zona|PACF,14.620000000000115,3.0389219534242975,4.810916576362254,2.650208333706262e-06,***
